"Statistic Label","Week","Mode of Transport","UNIT","VALUE"
"Passenger Journeys","2020 Week 17","All public transport, excluding LUAS","Number","542368"
"Passenger Journeys","2020 Week 18","Dublin Metro Bus","Number","433369"
"Passenger Journeys","2020 Week 18","Bus, excluding Dublin Metro","Number","106193"
"Passenger Journeys","2020 Week 18","Rail","Number","35354"
"Passenger Journeys","2020 Week 18","All public transport, excluding LUAS","Number","574916"
"Passenger Journeys","2020 Week 19","Dublin Metro Bus","Number","449887"
"Passenger Journeys","2020 Week 19","Bus, excluding Dublin Metro","Number","110131"
"Passenger Journeys","2020 Week 19","Rail","Number","38142"
"Passenger Journeys","2020 Week 19","All public transport, excluding LUAS","Number","598160"
"Passenger Journeys","2020 Week 20","Dublin Metro Bus","Number","504279"
"Passenger Journeys","2020 Week 20","Bus, excluding Dublin Metro","Number","122686"
"Passenger Journeys","2020 Week 20","Rail","Number","44431"
"Passenger Journeys","2020 Week 20","All public transport, excluding LUAS","Number","671396"
"Passenger Journeys","2020 Week 21","Dublin Metro Bus","Number","631921"
"Passenger Journeys","2020 Week 21","Bus, excluding Dublin Metro","Number","149607"
"Passenger Journeys","2020 Week 21","Rail","Number","69766"
"Passenger Journeys","2020 Week 21","All public transport, excluding LUAS","Number","851294"
"Passenger Journeys","2020 Week 22","Dublin Metro Bus","Number","740034"
"Passenger Journeys","2020 Week 22","Bus, excluding Dublin Metro","Number","171072"
"Passenger Journeys","2020 Week 22","Rail","Number","98967"
"Passenger Journeys","2020 Week 22","All public transport, excluding LUAS","Number","1010073"
"Passenger Journeys","2020 Week 23","Dublin Metro Bus","Number","717292"
"Passenger Journeys","2020 Week 23","Bus, excluding Dublin Metro","Number","169871"
"Passenger Journeys","2020 Week 23","Rail","Number","101021"
"Passenger Journeys","2020 Week 23","All public transport, excluding LUAS","Number","988184"
"Passenger Journeys","2020 Week 24","Dublin Metro Bus","Number","885658"
"Passenger Journeys","2020 Week 24","Bus, excluding Dublin Metro","Number","219384"
"Passenger Journeys","2020 Week 24","Rail","Number","138791"
"Passenger Journeys","2020 Week 24","All public transport, excluding LUAS","Number","1243833"
"Passenger Journeys","2020 Week 25","Dublin Metro Bus","Number","1004952"
"Passenger Journeys","2020 Week 25","Bus, excluding Dublin Metro","Number","250295"
"Passenger Journeys","2020 Week 25","Rail","Number","170670"
"Passenger Journeys","2020 Week 25","All public transport, excluding LUAS","Number","1425917"
"Passenger Journeys","2020 Week 26","Dublin Metro Bus","Number","1050419"
"Passenger Journeys","2020 Week 26","Bus, excluding Dublin Metro","Number","259592"
"Passenger Journeys","2020 Week 26","Rail","Number","199508"
"Passenger Journeys","2020 Week 26","All public transport, excluding LUAS","Number","1509519"
"Passenger Journeys","2020 Week 27","Dublin Metro Bus","Number","1215359"
"Passenger Journeys","2020 Week 27","Bus, excluding Dublin Metro","Number","305350"
"Passenger Journeys","2020 Week 27","Rail","Number","261970"
"Passenger Journeys","2020 Week 27","All public transport, excluding LUAS","Number","1782679"
"Passenger Journeys","2020 Week 28","Dublin Metro Bus","Number","1301584"
"Passenger Journeys","2020 Week 28","Bus, excluding Dublin Metro","Number","338931"
"Passenger Journeys","2020 Week 28","Rail","Number","261970"
"Passenger Journeys","2020 Week 28","All public transport, excluding LUAS","Number","1902485"
"Passenger Journeys","2020 Week 29","Dublin Metro Bus","Number","1317821"
"Passenger Journeys","2020 Week 29","Bus, excluding Dublin Metro","Number","347104"
"Passenger Journeys","2020 Week 29","Rail","Number","278033"
"Passenger Journeys","2020 Week 29","All public transport, excluding LUAS","Number","1942958"
"Passenger Journeys","2020 Week 30","Dublin Metro Bus","Number","1345580"
"Passenger Journeys","2020 Week 30","Bus, excluding Dublin Metro","Number","358836"
"Passenger Journeys","2020 Week 30","Rail","Number","286232"
"Passenger Journeys","2020 Week 30","All public transport, excluding LUAS","Number","1990648"
"Passenger Journeys","2020 Week 31","Dublin Metro Bus","Number","1390530"
"Passenger Journeys","2020 Week 31","Bus, excluding Dublin Metro","Number","369536"
"Passenger Journeys","2020 Week 31","Rail","Number","305731"
"Passenger Journeys","2020 Week 31","All public transport, excluding LUAS","Number","2065797"
"Passenger Journeys","2020 Week 32","Dublin Metro Bus","Number","1340117"
"Passenger Journeys","2020 Week 32","Bus, excluding Dublin Metro","Number","357425"
"Passenger Journeys","2020 Week 32","Rail","Number","323489"
"Passenger Journeys","2020 Week 32","All public transport, excluding LUAS","Number","2021031"
"Passenger Journeys","2020 Week 33","Dublin Metro Bus","Number","1404722"
"Passenger Journeys","2020 Week 33","Bus, excluding Dublin Metro","Number","382286"
"Passenger Journeys","2020 Week 33","Rail","Number","295557"
"Passenger Journeys","2020 Week 33","All public transport, excluding LUAS","Number","2082565"
"Passenger Journeys","2020 Week 34","Dublin Metro Bus","Number","1369602"
"Passenger Journeys","2020 Week 34","Bus, excluding Dublin Metro","Number","354355"
"Passenger Journeys","2020 Week 34","Rail","Number","258999"
"Passenger Journeys","2020 Week 34","All public transport, excluding LUAS","Number","1982956"
"Passenger Journeys","2020 Week 35","Dublin Metro Bus","Number","1448462"
"Passenger Journeys","2020 Week 35","Bus, excluding Dublin Metro","Number","390235"
"Passenger Journeys","2020 Week 35","Rail","Number","285663"
"Passenger Journeys","2020 Week 35","All public transport, excluding LUAS","Number","2124360"
"Passenger Journeys","2020 Week 36","Dublin Metro Bus","Number","1580362"
"Passenger Journeys","2020 Week 36","Bus, excluding Dublin Metro","Number","418714"
"Passenger Journeys","2020 Week 36","Rail","Number","332558"
"Passenger Journeys","2020 Week 36","All public transport, excluding LUAS","Number","2331634"
"Passenger Journeys","2020 Week 37","Dublin Metro Bus","Number","1642110"
"Passenger Journeys","2020 Week 37","Bus, excluding Dublin Metro","Number","427899"
"Passenger Journeys","2020 Week 37","Rail","Number","346681"
"Passenger Journeys","2020 Week 37","All public transport, excluding LUAS","Number","2416690"
"Passenger Journeys","2020 Week 38","Dublin Metro Bus","Number","1578521"
"Passenger Journeys","2020 Week 38","Bus, excluding Dublin Metro","Number","432729"
"Passenger Journeys","2020 Week 38","Rail","Number","323907"
"Passenger Journeys","2020 Week 38","All public transport, excluding LUAS","Number","2335157"
"Passenger Journeys","2020 Week 39","Dublin Metro Bus","Number","1517678"
"Passenger Journeys","2020 Week 39","Bus, excluding Dublin Metro","Number","438357"
"Passenger Journeys","2020 Week 39","Rail","Number","289803"
"Passenger Journeys","2020 Week 39","All public transport, excluding LUAS","Number","2245838"
"Passenger Journeys","2020 Week 40","Dublin Metro Bus","Number","1489761"
"Passenger Journeys","2020 Week 40","Bus, excluding Dublin Metro","Number","435417"
"Passenger Journeys","2020 Week 40","Rail","Number","284420"
"Passenger Journeys","2020 Week 40","All public transport, excluding LUAS","Number","2209598"
"Passenger Journeys","2020 Week 41","Dublin Metro Bus","Number","1554561"
"Passenger Journeys","2020 Week 41","Bus, excluding Dublin Metro","Number","405986"
"Passenger Journeys","2020 Week 41","Rail","Number","275531"
"Passenger Journeys","2020 Week 41","All public transport, excluding LUAS","Number","2236078"
"Passenger Journeys","2020 Week 42","Dublin Metro Bus","Number","1535839"
"Passenger Journeys","2020 Week 42","Bus, excluding Dublin Metro","Number","382078"
"Passenger Journeys","2020 Week 42","Rail","Number","263936"
"Passenger Journeys","2020 Week 42","All public transport, excluding LUAS","Number","2181853"
"Passenger Journeys","2020 Week 43","Dublin Metro Bus","Number","1297841"
"Passenger Journeys","2020 Week 43","Bus, excluding Dublin Metro","Number","319938"
"Passenger Journeys","2020 Week 43","Rail","Number","197097"
"Passenger Journeys","2020 Week 43","All public transport, excluding LUAS","Number","1814876"
"Passenger Journeys","2020 Week 44","Dublin Metro Bus","Number","868428"
