Week,Mode of Transport,Year,VALUE
52,1,2021,1542044.6
52,3,2021,1496777.4
52,0,2021,1451510.2
0,2,2022,1406243.0
0,1,2022,365503.0
0,3,2022,288051.0
0,0,2022,2059797.0
1,2,2022,1779235.0
1,1,2022,475432.0
1,3,2022,357666.0
1,0,2022,2612333.0
2,2,2022,1966074.0
2,1,2022,519750.0
2,3,2022,399947.0
2,0,2022,2885771.0
3,2,2022,2109953.0
3,1,2022,550396.0
3,3,2022,453379.0
3,0,2022,3113728.0
4,2,2022,2180251.0
4,1,2022,562335.0
4,3,2022,524640.0
4,0,2022,3267226.0
5,2,2022,2222594.0
5,1,2022,582446.0
5,3,2022,477140.0
5,0,2022,3282180.0
6,2,2022,2145226.0
6,1,2022,527018.0
6,3,2022,471325.0
6,0,2022,3143569.0
7,2,2022,2104859.0
7,1,2022,543279.0
7,3,2022,533442.0
7,0,2022,3181580.0
8,2,2022,2393755.0
8,1,2022,612819.0
8,3,2022,589825.0
8,0,2022,3596399.0
9,2,2022,2300757.0
9,1,2022,572414.0
9,3,2022,507442.0
9,0,2022,3380613.0
10,2,2022,2121172.0
10,1,2022,540807.0
10,3,2022,580364.0
10,0,2022,3242343.0
11,2,2022,2432024.0
11,1,2022,608648.0
11,3,2022,598637.0
11,0,2022,3639309.0
12,2,2022,2371286.0
12,1,2022,591604.0
12,3,2022,602411.0
12,0,2022,3565301.0
13,2,2022,2450481.0
13,1,2022,616574.0
13,3,2022,581420.0
13,0,2022,3648475.0
14,2,2022,2266854.0
14,1,2022,556672.0
14,3,2022,557169.0
14,0,2022,3380695.0
15,2,2022,2229079.0
15,1,2022,570284.0
15,3,2022,590864.0
15,0,2022,3390227.0
16,2,2022,2471590.0
16,1,2022,666915.0
16,3,2022,599078.0
16,0,2022,3737583.0
17,2,2022,2335362.0
17,1,2022,645649.0
17,3,2022,633863.0
17,0,2022,3614874.0
18,2,2022,2267822.0
18,1,2022,681036.0
18,3,2022,672546.0
18,0,2022,3621404.0
19,2,2022,2454491.0
19,1,2022,668361.0
19,3,2022,650548.0
19,0,2022,3773400.0
20,2,2022,2449292.0
20,1,2022,671051.0
20,3,2022,663418.0
20,0,2022,3783761.0
21,2,2022,2461534.0
21,1,2022,675775.0
21,3,2022,700921.0
21,0,2022,3838230.0
22,2,2022,2417295.0
